id;timestamp;modification_date;modified
1;2019-10-08T07:15:57;2019-10-08T08:36:37;false
2;2019-10-07T23:59:16;2019-10-07T14:13:18;false
3;2019-10-07T20:34:59;2019-10-08T07:34:51;true
4;2019-10-07T19:23:18;2019-10-08T10:30:56;false
5;2019-10-07T11:43:55;2019-10-07T17:40:55;true
6;2019-10-07T12:29:05;2019-10-08T05:54:49;false
7;2019-10-08T06:38:45;2019-10-07T11:11:48;false
8;2019-10-07T20:11:25;2019-10-08T03:42:28;true
9;2019-10-07T22:24:56;2019-10-08T10:50:24;false
10;2019-10-08T10:27:22;2019-10-08T04:01:13;true
